iter	Passed	Remaining
0	74	74761
1	174	86850
2	245	81565
3	328	81781
4	411	81869
5	444	73618
6	488	69316
7	583	72349
8	675	74369
9	746	73895
10	791	71119
11	813	66985
12	865	65728
13	957	67444
14	1047	68787
15	1081	66525
16	1171	67712
17	1254	68461
18	1306	67445
19	1369	67083
20	1459	68058
21	1518	67505
22	1607	68296
23	1683	68465
24	1774	69187
25	1867	69954
26	1953	70403
27	2044	70969
28	2140	71660
29	2215	71622
30	2285	71429
31	2384	72118
32	2474	72521
33	2561	72780
34	2661	73391
35	2742	73446
36	2837	73861
37	2949	74657
38	3044	75029
39	3142	75419
40	3230	75553
41	3323	75812
42	3410	75892
43	3505	76157
44	3606	76535
45	3695	76650
46	3755	76154
47	3841	76193
48	3876	75232
49	3951	75076
50	4037	75123
51	4127	75250
52	4207	75172
53	4294	75241
54	4388	75401
55	4473	75412
56	4558	75414
57	4644	75439
58	4730	75440
59	4791	75065
60	4837	74467
61	4931	74601
62	5039	74958
63	5110	74744
64	5198	74784
65	5282	74752
66	5388	75032
67	5500	75390
68	5599	75549
69	5696	75677
70	5774	75550
71	5859	75523
72	5919	75169
73	5957	74551
74	6016	74200
75	6064	73735
76	6122	73394
77	6181	73066
78	6202	72312
79	6257	71962
80	6281	71262
81	6339	70969
82	6394	70644
83	6432	70148
84	6486	69824
85	6553	69649
86	6586	69120
87	6671	69136
88	6764	69237
89	6852	69284
90	6970	69627
91	7066	69743
92	7153	69764
93	7212	69520
94	7229	68871
95	7258	68352
96	7303	67989
97	7374	67871
98	7475	68036
99	7573	68165
100	7638	67993
101	7709	67876
102	7758	67567
103	7805	67246
104	7854	66952
105	7945	67008
106	8037	67082
107	8147	67296
108	8262	67543
109	8354	67593
110	8453	67707
111	8543	67739
112	8635	67781
113	8728	67834
114	8826	67925
115	8924	68010
116	9025	68114
117	9073	67817
118	9094	67326
119	9138	67014
120	9185	66724
121	9207	66266
122	9252	65972
123	9297	65682
124	9340	65386
125	9387	65119
126	9439	64884
127	9489	64647
128	9514	64239
129	9563	64003
130	9612	63763
131	9661	63533
132	9712	63311
133	9762	63092
134	9812	62871
135	9869	62700
136	9938	62603
137	9983	62361
138	10031	62135
139	10078	61912
140	10125	61685
141	10165	61425
142	10213	61207
143	10260	60992
144	10306	60773
145	10354	60566
146	10416	60443
147	10498	60439
148	10577	60410
149	10657	60391
150	10738	60376
151	10812	60320
152	10899	60337
153	10985	60349
154	11076	60383
155	11118	60155
156	11189	60082
157	11217	59777
158	11258	59549
159	11304	59350
160	11355	59176
161	11402	58984
162	11451	58801
163	11499	58618
164	11545	58425
165	11593	58244
166	11647	58096
167	11702	57956
168	11731	57685
169	11799	57608
170	11885	57620
171	11977	57658
172	12088	57788
173	12168	57765
174	12218	57601
175	12264	57419
176	12306	57222
177	12344	57006
178	12382	56793
179	12418	56571
180	12460	56382
181	12506	56208
182	12533	55953
183	12627	56002
184	12686	55889
185	12733	55728
186	12779	55562
187	12826	55398
188	12873	55239
189	12920	55080
190	12961	54898
191	13007	54740
192	13042	54537
193	13084	54361
194	13130	54206
195	13178	54059
196	13209	53841
197	13264	53727
198	13323	53627
199	13385	53541
200	13444	53444
201	13505	53352
202	13566	53262
203	13626	53171
204	13666	53000
205	13721	52886
206	13778	52783
207	13833	52672
208	13888	52564
209	13974	52570
210	14041	52504
211	14136	52546
212	14231	52582
213	14313	52571
214	14348	52388
215	14437	52402
216	14503	52334
217	14541	52161
218	14589	52028
219	14637	51895
220	14685	51764
221	14733	51634
222	14786	51521
223	14827	51367
224	14873	51232
225	14922	51105
226	14970	50978
227	15020	50860
228	15072	50744
229	15119	50618
230	15165	50486
231	15215	50368
232	15297	50355
233	15393	50390
234	15492	50432
235	15591	50473
236	15689	50511
237	15754	50441
238	15791	50281
239	15827	50121
240	15873	49990
241	15938	49924
242	16020	49907
243	16109	49913
244	16185	49877
245	16229	49744
246	16274	49613
247	16318	49482
248	16363	49354
249	16438	49315
250	16535	49342
251	16626	49350
252	16714	49350
253	16817	49392
254	16905	49391
255	16998	49401
256	17094	49421
257	17178	49405
258	17225	49283
259	17271	49158
260	17317	49031
261	17370	48928
262	17415	48803
263	17499	48786
264	17591	48791
265	17624	48633
266	17675	48525
267	17749	48479
268	17829	48452
269	17907	48416
270	17951	48289
271	18023	48238
272	18075	48134
273	18165	48132
274	18250	48114
275	18325	48071
276	18404	48036
277	18478	47991
278	18561	47965
279	18635	47919
280	18713	47881
281	18805	47881
282	18894	47871
283	18980	47851
284	19059	47817
285	19159	47832
286	19241	47801
287	19264	47625
288	19286	47449
289	19331	47328
290	19379	47216
291	19424	47097
292	19478	46999
293	19567	46989
294	19604	46852
295	19687	46823
296	19729	46700
297	19805	46656
298	19890	46634
299	19984	46631
300	20085	46643
301	20178	46638
302	20228	46533
303	20274	46417
304	20319	46300
305	20361	46179
306	20393	46033
307	20410	45857
308	20443	45717
309	20492	45613
310	20544	45514
311	20592	45408
312	20641	45306
313	20687	45196
314	20739	45099
315	20792	45007
316	20851	44925
317	20906	44837
318	20960	44746
319	20995	44615
320	21041	44508
321	21066	44356
322	21082	44188
323	21125	44076
324	21175	43980
325	21220	43872
326	21266	43769
327	21313	43665
328	21362	43569
329	21407	43463
330	21454	43361
331	21504	43268
332	21549	43162
333	21587	43045
334	21631	42940
335	21675	42835
336	21718	42727
337	21761	42620
338	21803	42513
339	21846	42408
340	21888	42301
341	21932	42196
342	21975	42092
343	22019	41989
344	22045	41854
345	22092	41759
346	22140	41664
347	22159	41516
348	22208	41426
349	22257	41334
350	22299	41231
351	22344	41133
352	22389	41036
353	22432	40935
354	22477	40839
355	22524	40745
356	22571	40653
357	22617	40559
358	22676	40490
359	22749	40443
360	22809	40374
361	22866	40300
362	22900	40185
363	22981	40154
364	23042	40087
365	23134	40075
366	23226	40061
367	23331	40068
368	23407	40027
369	23469	39961
370	23526	39887
371	23587	39818
372	23643	39743
373	23701	39671
374	23714	39524
375	23768	39445
376	23821	39366
377	23876	39288
378	23935	39219
379	23992	39145
380	24065	39098
381	24123	39027
382	24179	38952
383	24239	38884
384	24304	38824
385	24364	38755
386	24430	38696
387	24483	38618
388	24539	38543
389	24596	38472
390	24637	38373
391	24659	38247
392	24733	38201
393	24812	38163
394	24897	38134
395	24977	38096
396	25053	38053
397	25104	37972
398	25156	37891
399	25201	37802
400	25251	37720
401	25281	37607
402	25327	37520
403	25376	37437
404	25425	37353
405	25470	37265
406	25495	37146
407	25539	37057
408	25589	36976
409	25656	36921
410	25778	36942
411	25878	36933
412	25954	36889
413	25991	36790
414	26035	36700
415	26080	36613
416	26146	36554
417	26228	36519
418	26304	36474
419	26340	36374
420	26421	36337
421	26464	36247
422	26549	36215
423	26612	36152
424	26662	36072
425	26709	35989
426	26754	35902
427	26800	35817
428	26844	35730
429	26894	35650
430	26939	35564
431	26983	35477
432	27028	35392
433	27052	35280
434	27095	35192
435	27182	35163
436	27216	35064
437	27322	35058
438	27409	35027
439	27456	34945
440	27505	34864
441	27549	34779
442	27593	34694
443	27643	34616
444	27690	34535
445	27754	34475
446	27837	34438
447	27886	34359
448	27932	34278
449	27984	34202
450	28030	34120
451	28073	34036
452	28133	33970
453	28218	33936
454	28270	33861
455	28365	33840
456	28464	33820
457	28562	33800
458	28653	33772
459	28689	33678
460	28770	33638
461	28829	33572
462	28901	33521
463	28929	33418
464	29003	33369
465	29079	33322
466	29169	33292
467	29244	33244
468	29332	33210
469	29419	33174
470	29497	33129
471	29576	33085
472	29608	32988
473	29686	32943
474	29764	32897
475	29806	32811
476	29887	32770
477	29957	32715
478	30007	32638
479	30051	32556
480	30082	32459
481	30106	32355
482	30150	32272
483	30195	32192
484	30240	32111
485	30301	32046
486	30400	32023
487	30458	31956
488	30504	31876
489	30560	31807
490	30606	31728
491	30704	31703
492	30797	31671
493	30845	31594
494	30885	31509
495	30936	31435
496	30988	31362
497	31039	31288
498	31082	31207
499	31127	31127
500	31174	31050
501	31218	30969
502	31235	30863
503	31298	30802
504	31397	30775
505	31492	30745
506	31578	30706
507	31658	30661
508	31699	30578
509	31745	30500
510	31786	30418
511	31833	30341
512	31889	30273
513	31938	30198
514	31962	30100
515	32011	30026
516	32030	29924
517	32077	29847
518	32125	29773
519	32170	29695
520	32217	29620
521	32312	29588
522	32401	29551
523	32502	29525
524	32598	29493
525	32661	29432
526	32705	29354
527	32751	29278
528	32768	29175
529	32822	29107
530	32916	29073
531	32963	28997
532	32996	28910
533	33084	28871
534	33173	28833
535	33268	28799
536	33371	28772
537	33468	28740
538	33566	28709
539	33658	28671
540	33741	28627
541	33833	28589
542	33926	28553
543	34005	28504
544	34075	28447
545	34092	28347
546	34140	28273
547	34182	28194
548	34225	28116
549	34270	28039
550	34318	27965
551	34374	27897
552	34440	27838
553	34505	27778
554	34568	27716
555	34588	27621
556	34652	27560
557	34710	27494
558	34733	27401
559	34810	27351
560	34904	27313
561	34937	27228
562	35021	27183
563	35123	27151
564	35158	27068
565	35197	26988
566	35236	26908
567	35279	26832
568	35324	26756
569	35342	26661
570	35384	26584
571	35431	26511
572	35476	26437
573	35503	26349
574	35547	26273
575	35592	26200
576	35635	26124
577	35683	26052
578	35728	25978
579	35774	25905
580	35825	25836
581	35872	25763
582	35921	25693
583	35970	25622
584	36015	25549
585	36077	25488
586	36127	25418
587	36172	25345
588	36216	25271
589	36261	25198
590	36306	25125
591	36363	25061
592	36442	25012
593	36524	24964
594	36569	24891
595	36623	24825
596	36703	24776
597	36788	24730
598	36873	24684
599	36954	24636
600	37032	24585
601	37136	24552
602	37220	24505
603	37287	24446
604	37336	24376
605	37383	24305
606	37430	24234
607	37479	24164
608	37532	24096
609	37582	24027
610	37629	23957
611	37676	23886
612	37726	23817
613	37819	23775
614	37915	23735
615	38020	23700
616	38085	23641
617	38131	23569
618	38151	23482
619	38196	23410
620	38243	23339
621	38290	23269
622	38338	23200
623	38371	23121
624	38389	23033
625	38436	22963
626	38486	22895
627	38532	22824
628	38586	22759
629	38616	22679
630	38661	22608
631	38709	22539
632	38803	22497
633	38899	22456
634	38986	22409
635	39072	22362
636	39158	22314
637	39246	22268
638	39330	22219
639	39411	22168
640	39504	22125
641	39601	22082
642	39685	22033
643	39771	21985
644	39806	21908
645	39899	21864
646	39999	21823
647	40109	21787
648	40211	21747
649	40305	21702
650	40392	21654
651	40487	21609
652	40583	21565
653	40678	21521
654	40767	21472
655	40857	21425
656	40947	21377
657	41043	21332
658	41135	21285
659	41230	21240
660	41330	21196
661	41418	21147
662	41469	21078
663	41512	21006
664	41551	20931
665	41595	20860
666	41642	20789
667	41688	20719
668	41731	20647
669	41781	20578
670	41828	20509
671	41872	20437
672	41918	20367
673	41969	20299
674	42019	20231
675	42065	20161
676	42112	20092
677	42164	20025
678	42209	19954
679	42256	19885
680	42304	19816
681	42352	19747
682	42399	19678
683	42447	19610
684	42497	19542
685	42545	19474
686	42598	19408
687	42658	19345
688	42751	19297
689	42849	19251
690	42922	19194
691	42965	19123
692	43003	19050
693	43040	18977
694	43077	18904
695	43113	18831
696	43155	18760
697	43202	18692
698	43250	18624
699	43306	18559
700	43392	18508
701	43489	18461
702	43575	18409
703	43662	18358
704	43768	18314
705	43869	18268
706	43908	18196
707	44008	18150
708	44066	18086
709	44154	18034
710	44238	17981
711	44327	17930
712	44414	17877
713	44478	17816
714	44522	17746
715	44567	17677
716	44615	17609
717	44663	17541
718	44729	17481
719	44776	17412
