iter	MultiClass
0	1.034827607
1	0.987422805
2	0.9512986073
3	0.9233431788
4	0.9013530631
5	0.8835098388
6	0.8695841899
7	0.8584524654
8	0.834527171
9	0.8149186298
10	0.7999193921
11	0.7865224084
12	0.77554741
13	0.7671030841
14	0.7595048119
15	0.7536504861
16	0.748732637
17	0.744748527
18	0.7408094157
19	0.7382299728
20	0.7358011548
21	0.7337095622
22	0.7321430661
23	0.7310254711
24	0.7299178293
25	0.7288579079
26	0.7272747902
27	0.7264272301
28	0.7257137353
29	0.7248355728
30	0.7241048885
31	0.7231530679
32	0.7223426162
33	0.7219555862
34	0.7215489791
35	0.7209825045
36	0.7206249036
37	0.7202260217
38	0.7196277268
39	0.7192967691
40	0.7187611732
41	0.7184540866
42	0.7182628529
43	0.7180636936
44	0.7179210479
45	0.7177676292
46	0.7176008282
47	0.7170199452
48	0.7167958376
49	0.7163823478
50	0.7162497607
51	0.7158201535
52	0.7156730967
53	0.7153877766
54	0.7150786583
55	0.7147742231
56	0.7146514653
57	0.7144247097
58	0.7143298679
59	0.7141303931
60	0.7137183341
61	0.7134042639
62	0.7133211993
63	0.7132390439
64	0.7130900414
65	0.7128373102
66	0.7126065156
67	0.7124703919
68	0.7123105167
69	0.7121862316
70	0.7120397676
71	0.7116303625
72	0.7114985227
73	0.7114341957
74	0.7113265223
75	0.7111490294
76	0.7110276477
77	0.7105994317
78	0.7103997983
79	0.7099035546
80	0.7096461362
81	0.7094684893
82	0.7093461804
83	0.7092933683
84	0.7092002931
85	0.708948563
86	0.7088228691
87	0.708678934
88	0.7085513167
89	0.7082992402
90	0.7082127111
91	0.7081056724
92	0.7079610146
93	0.7078583716
94	0.7077015598
95	0.7075041072
96	0.7071991797
97	0.7070594122
98	0.7069671359
99	0.7067686159
100	0.7065337187
101	0.7063580444
102	0.7061777854
103	0.7061196337
104	0.7059649528
105	0.7057477258
106	0.7054491473
107	0.7052418496
108	0.7051714163
109	0.7049232981
110	0.7048492712
111	0.7044882736
112	0.7043676887
113	0.7042140532
114	0.704053215
115	0.7040040567
116	0.7038884275
117	0.7037407832
118	0.7035955925
119	0.7033472794
120	0.7032646949
121	0.7031697224
122	0.7030325233
123	0.702858308
124	0.7026886539
125	0.7025419015
126	0.7024339694
127	0.7022413148
128	0.7019476978
129	0.7018335873
130	0.7018110506
131	0.7015747804
132	0.7012792932
133	0.7011475976
134	0.7009752775
135	0.7007716531
136	0.7006234558
137	0.7005255854
138	0.7004885208
139	0.7002520736
140	0.7000468824
141	0.6998759242
142	0.6995716302
143	0.6994541686
144	0.6992367241
145	0.6990774459
146	0.6989453151
147	0.698877405
148	0.6987473562
149	0.698640218
150	0.6983480409
151	0.6981809703
152	0.6980831665
153	0.6980125107
154	0.6978484066
155	0.6976379198
156	0.6972783993
157	0.6969752542
158	0.6969264573
159	0.6967355332
160	0.6966413619
161	0.6965828514
162	0.6965272728
163	0.696326674
164	0.696174074
165	0.695888718
166	0.695764267
167	0.6956638738
168	0.6955315137
169	0.6954585384
170	0.6950806152
171	0.6950011433
172	0.6947719334
173	0.6945049768
174	0.6942486777
175	0.6940604543
176	0.6938334307
177	0.6936400458
178	0.6934258783
179	0.6933126179
180	0.6932366878
181	0.6931100729
182	0.69297
183	0.6927517924
184	0.6926273708
185	0.6925204378
186	0.6923722242
187	0.6921628819
188	0.6920583353
189	0.6919196906
190	0.6918721593
191	0.69178467
192	0.6917182539
193	0.6916748168
194	0.6915783129
195	0.6914598418
196	0.6911364854
197	0.6910436917
198	0.6909592142
199	0.6908658117
200	0.6906832648
201	0.6904998693
202	0.6902999889
203	0.6899975133
204	0.6898980955
205	0.6896281137
206	0.6895631522
207	0.6894798304
208	0.689280009
209	0.689076504
210	0.6888270489
211	0.6886773832
212	0.6885806127
213	0.6884255958
214	0.6883070742
215	0.6881577255
216	0.6881146582
217	0.6879820068
218	0.6878489762
219	0.6877647778
220	0.6875587159
