iter	Passed	Remaining
0	67	67304
1	136	68253
2	166	55442
3	232	57916
4	299	59523
5	370	61372
6	404	57411
7	435	54015
8	476	52480
9	537	53202
10	594	53460
11	652	53721
12	703	53437
13	768	54137
14	829	54486
15	898	55279
16	957	55356
17	1023	55846
18	1080	55811
19	1133	55559
20	1198	55863
21	1259	56003
22	1327	56372
23	1390	56547
24	1455	56759
25	1515	56767
26	1581	56983
27	1649	57250
28	1709	57251
29	1772	57304
30	1844	57640
31	1902	57536
32	1967	57651
33	2035	57838
34	2096	57801
35	2149	57565
36	2224	57885
37	2290	57980
38	2352	57975
39	2417	58026
40	2478	57974
41	2543	58024
42	2617	58251
43	2678	58204
44	2739	58130
45	2812	58319
46	2871	58217
47	2941	58338
48	3007	58364
49	3077	58465
50	3131	58271
51	3206	58454
52	3269	58423
53	3341	58542
54	3414	58667
55	3480	58664
56	3544	58632
57	3615	58725
58	3640	58068
59	3705	58055
60	3775	58121
61	3821	57811
62	3889	57852
63	3953	57819
64	4025	57905
65	4094	57942
66	4164	57997
67	4234	58042
68	4297	57984
69	4375	58132
70	4449	58213
71	4512	58157
72	4574	58092
73	4632	57967
74	4699	57962
75	4766	57950
76	4829	57894
77	4899	57914
78	4958	57806
79	5024	57782
80	5091	57769
81	5163	57804
82	5229	57771
83	5298	57782
84	5359	57692
85	5429	57706
86	5496	57683
87	5556	57587
88	5627	57604
89	5687	57503
90	5762	57559
91	5834	57580
92	5896	57506
93	5970	57544
94	6041	57557
95	6112	57554
96	6185	57581
97	6260	57623
98	6328	57598
99	6403	57627
100	6472	57610
101	6539	57574
102	6606	57536
103	6667	57439
104	6745	57500
105	6820	57519
106	6890	57506
107	6963	57515
108	7040	57550
109	7108	57518
110	7182	57526
111	7257	57540
112	7333	57564
113	7403	57539
114	7475	57530
115	7539	57455
116	7605	57397
117	7681	57417
118	7757	57435
119	7826	57393
120	7888	57305
121	7945	57184
122	8011	57123
123	8076	57053
124	8149	57045
125	8227	57067
126	8297	57038
127	8356	56929
128	8428	56907
129	8501	56891
130	8565	56820
131	8641	56824
132	8719	56842
133	8794	56834
134	8868	56821
135	8939	56794
136	9006	56732
137	9076	56693
138	9150	56677
139	9224	56667
140	9303	56681
141	9378	56666
142	9453	56655
143	9526	56627
144	9592	56563
145	9661	56515
146	9725	56432
147	9791	56369
148	9861	56321
149	9936	56309
150	10017	56321
151	10089	56289
152	10160	56248
153	10230	56199
154	10299	56147
155	10371	56114
156	10447	56094
157	10513	56029
158	10575	55938
159	10650	55917
160	10731	55924
161	10805	55896
162	10875	55843
163	10941	55774
164	11005	55695
165	11079	55662
166	11150	55620
167	11221	55575
168	11326	55693
169	11387	55595
170	11453	55523
171	11520	55461
172	11589	55399
173	11661	55360
174	11728	55289
175	11796	55228
176	11869	55187
177	11939	55137
178	12006	55066
179	12075	55012
180	12142	54943
181	12213	54893
182	12288	54861
183	12360	54817
184	12428	54751
185	12498	54699
186	12566	54635
187	12637	54583
188	12710	54540
189	12778	54476
190	12847	54416
191	12918	54365
192	12996	54340
193	13074	54321
194	13156	54314
195	13226	54254
196	13303	54227
197	13378	54188
198	13444	54117
199	13522	54089
200	13594	54041
201	13658	53956
202	13716	53851
203	13784	53786
204	13845	53693
205	13909	53612
206	13973	53532
207	14038	53455
208	14110	53403
209	14189	53379
210	14265	53342
211	14344	53319
212	14433	53330
213	14518	53324
214	14597	53298
215	14672	53254
216	14751	53228
217	14826	53183
218	14899	53135
219	14971	53080
220	15037	53003
221	15109	52951
222	15185	52910
223	15259	52863
224	15339	52834
225	15413	52786
226	15484	52729
227	15551	52655
228	15621	52594
229	15697	52550
230	15773	52510
231	15848	52463
232	15917	52398
233	15976	52298
234	16042	52224
235	16117	52175
236	16185	52108
237	16243	52007
238	16316	51954
239	16393	51911
240	16465	51857
241	16537	51799
242	16611	51749
243	16675	51665
244	16742	51595
245	16818	51548
246	16891	51495
247	16963	51437
248	17039	51391
249	17112	51336
250	17183	51277
251	17250	51204
252	17330	51170
253	17406	51121
254	17485	51086
255	17554	51018
256	17626	50957
257	17699	50902
258	17771	50843
259	17843	50786
260	17909	50708
261	17974	50631
262	18047	50574
263	18116	50506
264	18183	50433
265	18255	50375
266	18329	50321
267	18398	50251
268	18466	50182
269	18546	50144
270	18614	50074
271	18685	50010
272	18750	49932
273	18819	49864
274	18894	49811
275	18959	49735
276	19028	49666
277	19104	49617
278	19183	49575
279	19262	49530
280	19329	49459
281	19398	49390
282	19472	49334
283	19541	49266
284	19617	49215
285	19691	49159
286	19769	49112
287	19841	49052
288	19915	48995
289	19986	48932
290	20062	48880
291	20138	48827
292	20214	48777
293	20287	48718
294	20353	48641
295	20424	48577
296	20491	48503
297	20569	48456
298	20634	48377
299	20712	48330
300	20792	48284
301	20865	48226
302	20939	48167
303	21006	48093
304	21068	48009
305	21142	47951
306	21215	47889
307	21290	47833
308	21358	47763
309	21432	47704
310	21508	47650
311	21577	47580
312	21648	47515
313	21718	47448
314	21785	47374
315	21856	47310
316	21926	47241
317	21996	47175
318	22058	47090
319	22136	47039
320	22215	46990
321	22301	46956
322	22374	46896
323	22448	46837
324	22523	46778
325	22591	46707
326	22662	46642
327	22734	46577
328	22808	46517
329	22884	46463
330	22961	46408
331	23023	46325
332	23100	46270
333	23178	46217
334	23252	46157
335	23318	46082
336	23397	46030
337	23473	45974
338	23545	45909
339	23614	45840
340	23692	45787
341	23769	45731
342	23840	45664
343	23911	45598
344	23989	45545
345	24065	45487
346	24139	45427
347	24218	45374
348	24293	45315
349	24376	45270
350	24462	45230
351	24551	45196
352	24658	45195
353	24741	45149
354	24801	45062
355	24879	45005
356	24959	44955
357	25042	44908
358	25121	44854
359	25202	44804
360	25266	44723
361	25345	44669
362	25420	44608
363	25489	44536
364	25565	44476
365	25643	44420
