year,month,day,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,registered,count
2012,3,13,18,봄,0,1,"맑음, 약간 구름 낀 흐림",28.7,31.82,34.0,19.9995,638,734
2012,4,16,22,여름,1,0,"맑음, 약간 구름 낀 흐림",27.88,31.82,51.0,16.9979,179,214
2011,12,9,21,겨울,0,1,"맑음, 약간 구름 낀 흐림",12.3,16.665,75.0,0.0,131,140
2011,8,8,19,가을,0,1,"맑음, 약간 구름 낀 흐림",33.62,37.12,43.0,7.0015,352,416
2011,10,4,7,겨울,0,1,"맑음, 약간 구름 낀 흐림",17.22,21.21,82.0,19.0012,298,309
2012,2,5,12,봄,0,0,"안개, 안개 + 흐림",10.66,12.88,65.0,12.998,223,248
2011,6,6,10,여름,0,1,"맑음, 약간 구름 낀 흐림",29.52,33.335,51.0,15.0013,64,95
2012,8,5,10,가을,0,0,"맑음, 약간 구름 낀 흐림",32.8,38.635,,27.9993,253,364
2011,12,19,5,겨울,0,1,"맑음, 약간 구름 낀 흐림",5.74,8.335,93.0,7.0015,21,21
2011,1,15,16,봄,0,0,"안개, 안개 + 흐림",13.94,16.665,34.0,12.998,95,128
2011,1,5,17,봄,0,1,"맑음, 약간 구름 낀 흐림",9.84,11.365,38.0,12.998,186,190
2011,10,3,19,겨울,0,1,"맑음, 약간 구름 낀 흐림",16.4,20.455,76.0,0.0,300,315
2012,3,19,9,봄,0,1,"맑음, 약간 구름 낀 흐림",20.5,24.24,72.0,11.0014,276,331
2012,3,1,6,봄,0,1,"안개, 안개 + 흐림",17.22,21.21,94.0,0.0,107,109
2011,3,18,18,봄,0,1,"맑음, 약간 구름 낀 흐림",27.88,31.82,39.0,11.0014,247,331
2011,10,5,9,겨울,0,1,"맑음, 약간 구름 낀 흐림",22.14,25.76,60.0,19.9995,187,219
2012,3,5,7,봄,0,1,"맑음, 약간 구름 낀 흐림",7.38,9.85,59.0,8.9981,253,260
2011,3,2,22,봄,0,1,"맑음, 약간 구름 낀 흐림",12.3,12.88,26.0,36.9974,44,48
2011,8,1,5,가을,0,1,"맑음, 약간 구름 낀 흐림",27.06,30.305,83.0,7.0015,24,26
2011,12,15,8,겨울,0,1,"안개, 안개 + 흐림",13.94,15.91,66.0,15.0013,449,457
2012,11,4,2,겨울,0,0,"맑음, 약간 구름 낀 흐림",12.3,16.665,65.0,0.0,31,37
2011,12,11,21,겨울,0,0,"맑음, 약간 구름 낀 흐림",9.02,13.635,55.0,0.0,53,63
2012,1,16,3,봄,1,0,"맑음, 약간 구름 낀 흐림",4.92,9.85,50.0,0.0,3,3
2012,1,3,12,봄,0,1,"맑음, 약간 구름 낀 흐림",7.38,6.82,37.0,35.0008,70,74
2012,12,15,21,겨울,0,0,"맑음, 약간 구름 낀 흐림",14.76,17.425,62.0,8.9981,169,184
2011,9,15,5,가을,0,1,"맑음, 약간 구름 낀 흐림",24.6,28.79,78.0,0.0,30,31
2011,2,13,13,봄,0,0,"맑음, 약간 구름 낀 흐림",15.58,19.695,29.0,23.9994,92,154
2012,3,10,17,봄,0,0,"맑음, 약간 구름 낀 흐림",14.76,18.94,23.0,0.0,250,354
2011,2,13,20,봄,0,0,"맑음, 약간 구름 낀 흐림",16.4,20.455,35.0,22.0028,32,47
2012,4,3,20,여름,0,1,"맑음, 약간 구름 낀 흐림",22.96,26.515,24.0,8.9981,325,379
2011,6,16,0,여름,0,1,"맑음, 약간 구름 낀 흐림",24.6,31.06,56.0,7.0015,38,47
2011,12,17,8,겨울,0,0,"안개, 안개 + 흐림",10.66,12.88,56.0,15.0013,55,59
2011,7,1,18,가을,0,1,"맑음, 약간 구름 낀 흐림",32.8,34.09,24.0,16.9979,324,422
2012,7,16,6,가을,0,1,"맑음, 약간 구름 낀 흐림",27.88,31.82,79.0,8.9981,132,140
2012,8,9,3,가을,0,1,"맑음, 약간 구름 낀 흐림",27.88,31.82,83.0,6.0032,5,6
2011,9,15,3,가을,0,1,"맑음, 약간 구름 낀 흐림",25.42,29.545,73.0,6.0032,5,8
2012,2,19,2,봄,0,0,"안개, 안개 + 흐림",12.3,14.395,36.0,19.0012,45,48
2011,9,3,4,가을,0,0,"맑음, 약간 구름 낀 흐림",25.42,29.545,73.0,11.0014,4,7
2012,11,11,18,겨울,0,0,"맑음, 약간 구름 낀 흐림",21.32,25.0,45.0,8.9981,303,405
2012,2,13,3,봄,0,1,"맑음, 약간 구름 낀 흐림",4.92,7.575,54.0,7.0015,1,1
2012,3,1,2,봄,0,1,"안개, 안개 + 흐림",18.86,22.725,94.0,19.0012,6,6
2012,1,6,21,봄,0,1,"맑음, 약간 구름 낀 흐림",16.4,20.455,43.0,15.0013,137,154
2012,3,14,18,봄,0,1,"맑음, 약간 구름 낀 흐림",28.7,31.82,32.0,0.0,647,749
2012,1,16,13,봄,1,0,"안개, 안개 + 흐림",9.84,9.85,41.0,27.9993,202,228
2012,7,16,22,가을,0,1,"맑음, 약간 구름 낀 흐림",31.16,35.605,62.0,6.0032,228,284
2012,2,13,0,봄,0,1,"맑음, 약간 구름 낀 흐림",5.74,6.82,46.0,15.0013,9,9
2012,11,1,13,겨울,0,1,"안개, 안개 + 흐림",16.4,20.455,58.0,11.0014,199,248
2012,9,2,17,가을,0,0,"맑음, 약간 구름 낀 흐림",31.16,36.365,66.0,6.0032,284,503
2011,6,15,16,여름,0,1,"맑음, 약간 구름 낀 흐림",31.16,33.335,27.0,8.9981,265,312
2011,2,17,12,봄,0,1,"맑음, 약간 구름 낀 흐림",19.68,23.485,41.0,15.0013,86,101
2012,4,13,19,여름,0,1,"맑음, 약간 구름 낀 흐림",22.14,25.76,24.0,11.0014,352,427
2012,11,7,16,겨울,0,1,"안개, 안개 + 흐림",13.12,14.395,53.0,23.9994,250,273
2012,9,4,10,가을,0,1,"안개, 안개 + 흐림",29.52,34.85,74.0,16.9979,130,172
2012,10,7,7,겨울,0,0,"가벼운 눈, 가벼운 비 + 천둥",17.22,21.21,58.0,11.0014,29,35
2012,7,14,19,가을,0,0,"맑음, 약간 구름 낀 흐림",29.52,35.605,84.0,6.0032,275,431
