iter	Passed	Remaining
0	137	137045
1	235	117305
2	401	133543
3	472	117640
4	613	122081
5	770	127638
6	921	130671
7	1040	129058
8	1165	128307
9	1298	128510
10	1433	128850
11	1564	128835
12	1739	132040
13	1877	132219
14	2007	131798
15	2141	131671
16	2277	131674
17	2439	133087
18	2580	133228
19	2711	132885
20	2836	132253
21	2969	132025
22	3035	128943
23	3185	129548
24	3346	130504
25	3509	131485
26	3609	130072
27	3700	128452
28	3846	128781
29	3983	128801
30	4117	128705
31	4251	128621
32	4390	128656
33	4534	128824
34	4689	129296
35	4739	126925
36	4866	126671
37	5016	126992
38	5174	127508
39	5291	126990
40	5425	126897
41	5543	126451
42	5704	126948
43	5842	126930
44	5972	126752
45	6221	129022
46	6371	129185
47	6532	129564
48	6700	130043
49	6840	129968
50	6994	130145
51	7073	128960
52	7231	129211
53	7397	129599
54	7570	130077
55	7726	130240
56	7887	130489
57	8037	130532
58	8170	130310
59	8309	130177
60	8445	130005
61	8586	129903
62	8741	130015
63	8898	130140
64	9052	130216
65	9220	130480
66	9363	130396
67	9526	130564
68	9689	130744
69	9856	130953
70	10000	130849
71	10051	129548
72	10209	129642
73	10380	129900
74	10525	129816
75	10702	130118
76	10849	130056
77	10999	130025
78	11174	130270
79	11330	130300
80	11497	130451
81	11631	130217
82	11799	130360
83	11957	130388
84	12136	130646
85	12338	131128
86	12471	130881
87	12624	130831
88	12777	130790
89	12940	130843
90	13089	130753
91	13234	130622
92	13362	130324
93	13536	130468
94	13713	130643
95	13868	130595
96	14046	130761
97	14238	131049
98	14389	130961
99	14522	130698
100	14640	130313
101	14791	130219
102	14940	130113
103	15081	129931
104	15231	129832
105	15391	129809
106	15558	129849
107	15696	129639
108	15847	129540
109	15990	129378
110	16163	129453
111	16329	129465
112	16484	129397
113	16638	129316
114	16783	129161
115	16934	129056
116	17080	128909
117	17233	128812
118	17378	128658
119	17496	128309
120	17617	127982
121	17779	127957
122	17936	127889
123	18093	127824
124	18236	127653
125	18401	127643
126	18547	127499
127	18723	127556
128	18879	127470
129	19032	127374
130	19213	127451
131	19335	127146
132	19469	126917
133	19602	126686
134	19755	126578
135	19896	126400
136	20088	126543
137	20244	126457
138	20362	126128
139	20490	125869
140	20682	126002
141	20913	126364
142	21170	126874
143	21386	127131
144	21592	127319
145	21777	127383
146	21934	127280
147	22106	127260
148	22406	127970
149	22646	128330
150	22807	128237
151	22957	128075
152	23168	128261
153	23412	128619
154	23558	128432
155	23725	128360
156	23861	128124
157	23978	127786
158	24159	127788
159	24327	127717
160	24532	127843
161	24787	128222
162	25002	128385
163	25354	129248
164	25606	129585
165	25822	129736
166	26015	129764
167	26162	129564
168	26303	129339
169	26439	129085
170	26603	128971
171	26768	128862
172	26947	128820
173	27111	128703
174	27284	128626
175	27416	128358
176	27541	128060
177	27704	127940
178	27843	127707
179	28069	127873
180	28277	127952
181	28529	128225
182	28708	128169
183	28884	128097
184	29084	128127
185	29332	128369
186	29482	128179
187	29629	127973
188	29766	127729
189	29891	127434
190	30023	127168
191	30191	127055
192	30331	126826
193	30494	126693
194	30663	126585
195	30829	126465
196	30979	126277
197	31146	126160
198	31316	126053
199	31457	125831
200	31627	125723
201	31783	125561
202	31927	125352
203	32090	125215
204	32257	125096
205	32410	124920
206	32582	124822
207	32746	124689
208	32900	124519
209	33050	124331
210	33208	124177
211	33376	124061
212	33551	123969
213	33696	123764
214	33857	123619
215	34000	123410
216	34116	123103
217	34217	122743
218	34322	122399
219	34432	122079
220	34529	121712
221	34629	121357
222	34743	121055
223	34839	120694
224	34951	120386
225	35067	120097
226	35180	119799
227	35289	119488
228	35394	119165
229	35513	118892
230	35628	118606
231	35742	118319
232	35844	117994
233	35960	117717
234	36067	117412
235	36190	117160
236	36303	116874
237	36416	116592
238	36549	116378
239	36714	116261
240	36862	116092
241	37011	115928
242	37149	115729
243	37305	115585
244	37462	115444
245	37622	115313
246	37759	115113
247	37892	114898
248	38045	114746
249	38198	114594
250	38343	114420
251	38499	114276
252	38653	114127
253	38823	114024
254	38984	113896
255	39091	113609
256	39202	113335
257	39294	113009
258	39396	112713
259	39508	112448
260	39634	112220
261	39754	111981
262	39868	111723
263	39996	111504
264	40114	111262
265	40226	111000
266	40321	110694
267	40427	110420
268	40568	110243
269	40752	110182
270	40897	110017
271	41086	109968
272	41254	109860
273	41409	109719
274	41566	109585
275	41819	109700
276	42057	109775
277	42305	109872
278	42617	110133
279	42800	110057
280	42942	109877
281	43083	109694
282	43233	109535
283	43419	109466
284	43557	109276
285	43687	109066
286	43861	108967
287	44013	108811
288	44207	108759
289	44362	108611
290	44505	108434
291	44677	108328
292	44857	108239
293	45215	108579
294	45470	108667
295	45856	109064
296	46059	109024
297	46214	108867
298	46382	108743
299	46530	108571
300	46681	108407
301	46853	108289
302	47003	108123
303	47177	108012
304	47446	108115
305	47616	107992
306	47809	107922
307	47992	107827
308	48139	107650
309	48281	107465
310	48528	107511
311	48685	107358
312	48862	107248
313	49019	107092
314	49207	107007
315	49377	106880
316	49534	106726
317	49725	106643
318	49888	106500
319	50053	106362
320	50232	106254
321	50418	106160
322	50568	105989
323	50757	105901
324	50917	105751
325	51083	105614
326	51253	105484
327	51432	105373
328	51611	105261
329	51756	105080
330	51931	104961
331	52105	104838
332	52285	104727
333	52449	104584
334	52621	104457
335	52779	104302
336	52944	104160
337	53102	104006
338	53280	103888
339	53432	103721
340	53580	103547
341	53742	103398
